#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
Mn I  |  3| | 1.12|-0.64| 0.05| 0.17| 0.10| 0.21|CS 22956-050
Mn II |  2| | 1.09|-0.78| 0.16| 0.21| 0.23| 0.17|CS 22956-050
Co I  |  5| | 1.46| 0.13| 0.12| 0.19| 0.14| 0.23|CS 22956-050
Ni I  |  8| | 2.54|-0.01| 0.12| 0.22| 0.16| 0.24|CS 22956-050
Zn I  |  2| | 1.48| 0.59| 0.10| 0.17| 0.12| 0.20|CS 22956-050
Rb I  |  1|<| 1.60| 2.75|     |     |     |     |CS 22956-050
Sr II |  2| |-1.24|-0.54| 0.04| 0.25| 0.24| 0.25|CS 22956-050
Y II  |  1| |-2.31|-0.95| 0.12| 0.19| 0.21| 0.14|CS 22956-050
Zr II |  2| |-1.23|-0.25| 0.14| 0.20| 0.22| 0.16|CS 22956-050
Nb II |  1|<| 0.02| 2.13|     |     |     |     |CS 22956-050
Mo I  |  1|<|-0.42| 1.37|     |     |     |     |CS 22956-050
Tc I  |  1|<|-0.23|     |     |     |     |     |CS 22956-050
Sn I  |  1|<| 1.05| 2.65|     |     |     |     |CS 22956-050
Ba II |  2| |-2.39|-1.00| 0.06| 0.15| 0.18| 0.10|CS 22956-050
Pr II |  1|<|-2.32| 0.53|     |     |     |     |CS 22956-050
Nd II |  1|<|-1.55| 0.60|     |     |     |     |CS 22956-050
Eu II |  1|<|-3.24|-0.19|     |     |     |     |CS 22956-050
Gd II |  2|<|-1.40| 1.10|     |     |     |     |CS 22956-050
Tb II |  3|<|-1.96| 1.31|     |     |     |     |CS 22956-050
Dy II |  2|<|-1.91| 0.56|     |     |     |     |CS 22956-050
Er II |  2|<|-1.88| 0.77|     |     |     |     |CS 22956-050
Tm II |  1|<|-1.26| 2.21|     |     |     |     |CS 22956-050
Yb II |  1|<|-2.92|-0.27|     |     |     |     |CS 22956-050
Hf II |  2|<|-1.13| 1.59|     |     |     |     |CS 22956-050
Ir I  |  1|<|-0.52| 1.77|     |     |     |     |CS 22956-050
Pb I  |  1|<| 0.40| 2.03|     |     |     |     |CS 22956-050
Th II |  2|<|-2.21| 1.30|     |     |     |     |CS 22956-050
Fe I  | 94| | 4.75|-2.75| 0.06| 0.21| 0.00| 0.00|CS 22956-062
Fe II |  5| | 4.74|-2.76| 0.07| 0.14| 0.00| 0.00|CS 22956-062
Li I  |  1| | 1.88|     | 0.05| 0.20| 0.08| 0.20|CS 22956-062
C (CH)|  1| | 5.89| 0.22| 0.15| 0.25| 0.19| 0.19|CS 22956-062
N (CN)|  1|<| 7.15| 2.08|     |     |     |     |CS 22956-062
O I   |  4|<| 6.56| 0.62|     |     |     |     |CS 22956-062
Na I  |  1| | 3.28|-0.21| 0.10| 0.29| 0.18| 0.29|CS 22956-062
Mg I  |  5| | 5.33| 0.48| 0.05| 0.21| 0.08| 0.21|CS 22956-062
Al I  |  1| | 2.94|-0.76| 0.09| 0.33| 0.20| 0.30|CS 22956-062
Si I  |  1| | 5.49| 0.73| 0.15| 0.39| 0.26| 0.32|CS 22956-062
Ca I  | 12| | 4.02| 0.43| 0.11| 0.22| 0.12| 0.22|CS 22956-062
Sc II |  1| | 0.13|-0.26| 0.05| 0.16| 0.20| 0.12|CS 22956-062
Ti I  |  7| | 2.45| 0.24| 0.06| 0.20| 0.09| 0.21|CS 22956-062
Ti II | 12| | 2.29| 0.11| 0.06| 0.14| 0.19| 0.11|CS 22956-062
V II  |  2|<| 1.73| 0.56|     |     |     |     |CS 22956-062
Cr I  |  5| | 2.75|-0.14| 0.06| 0.21| 0.09| 0.21|CS 22956-062
Mn I  |  3| | 2.20|-0.48| 0.05| 0.23| 0.11| 0.24|CS 22956-062
Co I  |  3| | 2.38| 0.14| 0.12| 0.23| 0.14| 0.24|CS 22956-062
Ni I  |  3| | 3.36|-0.11| 0.12| 0.24| 0.14| 0.24|CS 22956-062
Zn I  |  2|<| 2.37| 0.56|     |     |     |     |CS 22956-062
Rb I  |  1|<| 2.33| 2.56|     |     |     |     |CS 22956-062
Sr II |  2| | 0.02|-0.09| 0.04| 0.24| 0.24| 0.25|CS 22956-062
Y II  |  1| |-1.01|-0.46| 0.14| 0.19| 0.24| 0.16|CS 22956-062
Zr II |  1| |-0.02| 0.16| 0.16| 0.20| 0.25| 0.18|CS 22956-062
Mo I  |  1|<| 0.99| 1.86|     |     |     |     |CS 22956-062
Tc I  |  1|<| 1.12|     |     |     |     |     |CS 22956-062
Sn I  |  1|<| 2.32| 3.00|     |     |     |     |CS 22956-062
Ba II |  2| |-1.35|-0.77| 0.08| 0.15| 0.21| 0.11|CS 22956-062
Ce II |  5|<|-0.23| 0.95|     |     |     |     |CS 22956-062
Nd II |  4|<|-0.35| 0.99|     |     |     |     |CS 22956-062
Sm II |  2|<|-0.36| 1.44|     |     |     |     |CS 22956-062
Eu II |  3|<|-1.46| 0.78|     |     |     |     |CS 22956-062
Gd II |  2|<| 0.22| 1.91|     |     |     |     |CS 22956-062
Tb II |  3|<|-0.24| 2.22|     |     |     |     |CS 22956-062
Dy II |  2|<| 0.12| 1.78|     |     |     |     |CS 22956-062
Ho II |  1|<|-0.43| 1.85|     |     |     |     |CS 22956-062
Er II |  3|<|-0.28| 1.56|     |     |     |     |CS 22956-062
Tm II |  1|<|-0.53| 2.13|     |     |     |     |CS 22956-062
Yb II |  1|<|-1.13| 0.71|     |     |     |     |CS 22956-062
Ir I  |  1|<| 1.45| 2.82|     |     |     |     |CS 22956-062
Pb I  |  1|<| 1.20| 1.91|     |     |     |     |CS 22956-062
Th II |  3|<|-0.44| 2.26|     |     |     |     |CS 22956-062
Fe I  | 49| | 4.79|-2.71| 0.06| 0.22| 0.00| 0.00|CS 22956-081
Fe II |  2| | 4.70|-2.80| 0.07| 0.14| 0.00| 0.00|CS 22956-081
Li I  |  1| | 2.11|     | 0.07| 0.20| 0.10| 0.21|CS 22956-081
C (CH)|  1|<| 6.80| 1.17|     |     |     |     |CS 22956-081
N (NH)|  1|<| 7.30| 2.27|     |     |     |     |CS 22956-081
O I   |  3| | 6.04| 0.06| 0.10| 0.21| 0.13| 0.22|CS 22956-081
Mg I  |  6| | 5.27| 0.38| 0.05| 0.22| 0.08| 0.21|CS 22956-081
Al I  |  2| | 2.90|-0.84| 0.09| 0.24| 0.13| 0.25|CS 22956-081
Si I  |  1| | 4.97| 0.17| 0.16| 0.36| 0.23| 0.33|CS 22956-081
Ca I  |  5| | 4.13| 0.50| 0.11| 0.23| 0.14| 0.23|CS 22956-081
Sc II |  1| | 0.58| 0.23| 0.05| 0.15| 0.20| 0.12|CS 22956-081
Ti II |  9| | 2.70| 0.55| 0.05| 0.14| 0.19| 0.11|CS 22956-081
Cr I  |  3| | 2.85|-0.08| 0.04| 0.20| 0.08| 0.20|CS 22956-081
Mn I  |  3| | 2.43|-0.29| 0.07| 0.20| 0.10| 0.21|CS 22956-081
Co I  |  1| | 2.29| 0.01| 0.15| 0.24| 0.17| 0.25|CS 22956-081
Ni I  |  2| | 3.59| 0.07| 0.13| 0.23| 0.15| 0.23|CS 22956-081
Zn I  |  2|<| 2.66| 0.81|     |     |     |     |CS 22956-081
Rb I  |  1|<| 2.79| 2.98|     |     |     |     |CS 22956-081
Sr II |  2| | 0.04|-0.03| 0.04| 0.21| 0.22| 0.20|CS 22956-081
Y II  |  1| |-0.53| 0.06| 0.16| 0.21| 0.26| 0.18|CS 22956-081
Mo I  |  1|<| 1.82| 2.65|     |     |     |     |CS 22956-081
Tc I  |  1|<| 2.04|     |     |     |     |     |CS 22956-081
Ba II |  1| |-1.04|-0.42| 0.07| 0.14| 0.21| 0.10|CS 22956-081
La II |  4|<|-0.16| 1.54|     |     |     |     |CS 22956-081
Ce II |  5|<| 0.55| 1.77|     |     |     |     |CS 22956-081
Pr II |  5|<| 0.38| 2.46|     |     |     |     |CS 22956-081
Nd II |  5|<| 0.59| 1.97|     |     |     |     |CS 22956-081
Sm II |  2|<| 0.46| 2.30|     |     |     |     |CS 22956-081
Eu II |  4|<|-0.68| 1.60|     |     |     |     |CS 22956-081
Gd II |  3|<| 0.77| 2.50|     |     |     |     |CS 22956-081
Tb II |  3|<| 0.53| 3.03|     |     |     |     |CS 22956-081
Dy II |  3|<| 0.09| 1.79|     |     |     |     |CS 22956-081
Ho II |  1|<| 0.11| 2.43|     |     |     |     |CS 22956-081
Er II |  3|<| 0.41| 2.29|     |     |     |     |CS 22956-081
Tm II |  2|<| 0.08| 2.78|     |     |     |     |CS 22956-081
Yb II |  1|<|-0.58| 1.30|     |     |     |     |CS 22956-081
Hf II |  2|<| 0.96| 2.91|     |     |     |     |CS 22956-081
Pb I  |  1|<| 2.15| 2.82|     |     |     |     |CS 22956-081
Th II |  3|<| 0.36| 3.10|     |     |     |     |CS 22956-081
Fe I  | 44| | 5.11|-2.39| 0.06| 0.21| 0.00| 0.00|CS 22956-102
Fe II |  5| | 5.29|-2.21| 0.07| 0.14| 0.00| 0.00|CS 22956-102
Li I  |  1|<| 1.55|     |     |     |     |     |CS 22956-102
C (CH)|  1| | 8.25| 2.03| 0.15| 0.25| 0.19| 0.19|CS 22956-102
N (CN)|  1|<| 6.10| 0.48|     |     |     |     |CS 22956-102
O I   |  3| | 6.65| 0.36| 0.07| 0.20| 0.10| 0.21|CS 22956-102
Mg I  |  4| | 5.50| 0.29| 0.04| 0.23| 0.08| 0.21|CS 22956-102
Al I  |  1| | 3.63|-0.43| 0.09| 0.33| 0.21| 0.30|CS 22956-102
Ca I  |  5| | 4.29| 0.34| 0.11| 0.22| 0.13| 0.22|CS 22956-102
Ti I  |  1| | 3.05| 0.49| 0.06| 0.20| 0.09| 0.20|CS 22956-102
Ti II |  5| | 2.84| 0.10| 0.05| 0.14| 0.19| 0.11|CS 22956-102
V II  |  1| | 2.38| 0.66| 0.20| 0.24| 0.28| 0.21|CS 22956-102
Cr I  |  1| | 3.07|-0.18| 0.04| 0.19| 0.08| 0.20|CS 22956-102
Mn I  |  1| | 2.77|-0.27| 0.05| 0.20| 0.08| 0.21|CS 22956-102
Ni I  |  1| | 3.94| 0.11| 0.11| 0.22| 0.13| 0.22|CS 22956-102
Zn I  |  2|<| 2.84| 0.67|     |     |     |     |CS 22956-102
Rb I  |  1|<| 2.73| 2.60|     |     |     |     |CS 22956-102
Sr II |  2| | 1.55| 0.88| 0.04| 0.19| 0.18| 0.21|CS 22956-102
Y II  |  2| | 0.38| 0.38| 0.10| 0.16| 0.22| 0.12|CS 22956-102
Zr II |  2| | 1.35| 0.98| 0.06| 0.14| 0.21| 0.09|CS 22956-102
Tc I  |  1|<| 2.16|     |     |     |     |     |CS 22956-102
Ba II |  3| | 1.78| 1.81| 0.05| 0.14| 0.18| 0.13|CS 22956-102
La II |  4| | 0.50| 1.60| 0.06| 0.14| 0.20| 0.09|CS 22956-102
Ce II |  3| | 1.15| 1.78| 0.07| 0.14| 0.21| 0.10|CS 22956-102
Pr II |  1| | 0.33| 1.82| 0.06| 0.14| 0.21| 0.09|CS 22956-102
Nd II |  1| | 0.79| 1.58| 0.06| 0.14| 0.21| 0.09|CS 22956-102
Eu II |  1| |-0.87| 0.82| 0.11| 0.17| 0.23| 0.13|CS 22956-102
Gd II |  2|<| 0.84| 1.98|     |     |     |     |CS 22956-102
Tb II |  1|<| 0.98| 2.89|     |     |     |     |CS 22956-102
Dy II |  1| |-0.10| 1.01| 0.19| 0.23| 0.27| 0.20|CS 22956-102
Hf II |  1|<| 1.13| 2.49|     |     |     |     |CS 22956-102
Pb I  |  1| | 2.08| 2.43| 0.07| 0.20| 0.09| 0.20|CS 22956-102
Fe I  | 58| | 4.81|-2.69| 0.07| 0.22| 0.00| 0.00|CS 22956-106
Fe II |  4| | 4.90|-2.60| 0.07| 0.15| 0.00| 0.00|CS 22956-106
Li I  |  1| | 2.26|     | 0.06| 0.20| 0.10| 0.21|CS 22956-106
C (CH)|  1|<| 7.00| 1.17|     |     |     |     |CS 22956-106
N (NH)|  1|<| 7.20| 1.97|     |     |     |     |CS 22956-106
O I   |  2| | 5.96|-0.04| 0.09| 0.21| 0.12| 0.22|CS 22956-106
Mg I  |  6| | 5.27| 0.36| 0.05| 0.22| 0.09| 0.21|CS 22956-106
Al I  |  2| | 3.10|-0.66| 0.09| 0.25| 0.14| 0.26|CS 22956-106
Si I  |  1| | 5.25| 0.43| 0.16| 0.36| 0.23| 0.33|CS 22956-106
K I   |  1| | 2.71| 0.37| 0.17| 0.26| 0.19| 0.26|CS 22956-106
Ca I  |  9| | 4.17| 0.52| 0.11| 0.22| 0.13| 0.23|CS 22956-106
Sc II |  2| | 0.76| 0.21| 0.07| 0.15| 0.21| 0.11|CS 22956-106
Ti II | 12| | 2.76| 0.41| 0.05| 0.14| 0.19| 0.11|CS 22956-106
V II  |  1| | 2.05| 0.72| 0.24| 0.27| 0.31| 0.25|CS 22956-106
Cr I  |  3| | 2.96| 0.01| 0.04| 0.20| 0.08| 0.21|CS 22956-106
Cr II |  1| | 3.33| 0.29| 0.09| 0.16| 0.22| 0.12|CS 22956-106
Mn I  |  3| | 2.57|-0.17| 0.08| 0.21| 0.11| 0.21|CS 22956-106
Mn II |  3| | 2.43|-0.40| 0.16| 0.21| 0.25| 0.19|CS 22956-106
Co I  |  1| | 2.53| 0.23| 0.15| 0.24| 0.17| 0.25|CS 22956-106
Ni I  |  3| | 3.64| 0.11| 0.15| 0.26| 0.17| 0.26|CS 22956-106
Zn I  |  2|<| 2.71| 0.84|     |     |     |     |CS 22956-106
Rb I  |  1|<| 2.81| 2.98|     |     |     |     |CS 22956-106
Sr II |  2| | 0.30| 0.03| 0.04| 0.22| 0.23| 0.22|CS 22956-106
Zr II |  1|<| 1.23| 1.25|     |     |     |     |CS 22956-106
Nb II |  1|<| 1.97| 3.11|     |     |     |     |CS 22956-106
Mo I  |  1|<| 1.70| 2.51|     |     |     |     |CS 22956-106
Tc I  |  1|<| 2.10|     |     |     |     |     |CS 22956-106
Ba II |  1| |-0.92|-0.50| 0.07| 0.14| 0.21| 0.10|CS 22956-106
La II |  3|<|-0.22| 1.28|     |     |     |     |CS 22956-106
Ce II |  5|<| 0.66| 1.68|     |     |     |     |CS 22956-106
Pr II |  4|<| 0.17| 2.05|     |     |     |     |CS 22956-106
Nd II |  5|<| 0.40| 1.58|     |     |     |     |CS 22956-106
Sm II |  2|<| 0.54| 2.18|     |     |     |     |CS 22956-106
Eu II |  4|<|-0.75| 1.33|     |     |     |     |CS 22956-106
Gd II |  3|<| 0.70| 2.23|     |     |     |     |CS 22956-106
Tb II |  4|<| 0.34| 2.64|     |     |     |     |CS 22956-106
Dy II |  2|<| 0.14| 1.64|     |     |     |     |CS 22956-106
Ho II |  2|<| 0.12| 2.24|     |     |     |     |CS 22956-106
Er II |  3|<| 0.40| 2.08|     |     |     |     |CS 22956-106
Tm II |  1|<| 1.07| 3.57|     |     |     |     |CS 22956-106
Yb II |  1|<|-0.62| 1.06|     |     |     |     |CS 22956-106
Hf II |  1|<| 1.24| 2.99|     |     |     |     |CS 22956-106
Pb I  |  1|<| 2.13| 2.78|     |     |     |     |CS 22956-106
Th II |  2|<| 0.23| 2.77|     |     |     |     |CS 22956-106
Fe I  | 43| | 4.35|-3.15| 0.07| 0.17| 0.00| 0.00|CS 22956-110
Fe II |  7| | 4.36|-3.14| 0.07| 0.16| 0.00| 0.00|CS 22956-110
Li I  |  1|<| 2.00|     |     |     |     |     |CS 22956-110
C (CH)|  1|<| 6.95| 1.67|     |     |     |     |CS 22956-110
N (NH)|  1|<| 7.25| 2.57|     |     |     |     |CS 22956-110
O I   |  2| | 5.93| 0.39| 0.07| 0.17| 0.10| 0.20|CS 22956-110
Na I  |  1| | 3.00|-0.09| 0.10| 0.19| 0.12| 0.22|CS 22956-110
Mg I  |  5| | 4.74| 0.29| 0.08| 0.19| 0.11| 0.22|CS 22956-110
Al I  |  2| | 2.55|-0.75| 0.09| 0.18| 0.12| 0.21|CS 22956-110
Si I  |  1| | 4.36| 0.00| 0.16| 0.24| 0.19| 0.27|CS 22956-110
Ca I  |  4| | 3.58| 0.39| 0.12| 0.20| 0.13| 0.22|CS 22956-110
Sc II |  3| | 0.05| 0.04| 0.07| 0.15| 0.20| 0.10|CS 22956-110
Ti II | 10| | 2.00| 0.19| 0.05| 0.15| 0.19| 0.09|CS 22956-110
Cr I  |  2| | 2.45|-0.05| 0.04| 0.16| 0.08| 0.19|CS 22956-110
Mn I  |  1| | 1.88|-0.40| 0.09| 0.18| 0.11| 0.21|CS 22956-110
Mn II |  2| | 2.18|-0.10| 0.16| 0.21| 0.25| 0.17|CS 22956-110
Ni I  |  1| | 3.17| 0.10| 0.14| 0.21| 0.15| 0.23|CS 22956-110
Zn I  |  2|<| 2.53| 1.12|     |     |     |     |CS 22956-110
Sr II |  2| |-0.02| 0.26| 0.04| 0.24| 0.23| 0.21|CS 22956-110
Y II  |  5|<|-0.45| 0.48|     |     |     |     |CS 22956-110
Zr II |  1|<| 0.02| 0.58|     |     |     |     |CS 22956-110
Nb II |  1|<| 1.06| 2.74|     |     |     |     |CS 22956-110
Mo I  |  1|<| 1.40| 2.67|     |     |     |     |CS 22956-110
Tc I  |  1|<| 1.76|     |     |     |     |     |CS 22956-110
Ba II |  1| |-2.13|-1.17| 0.08| 0.16| 0.21| 0.11|CS 22956-110
Ce II |  5|<|-0.26| 1.30|     |     |     |     |CS 22956-110
Pr II |  5|<|-0.51| 1.91|     |     |     |     |CS 22956-110
Nd II |  5|<|-0.35| 1.37|     |     |     |     |CS 22956-110
Sm II |  2|<|-0.30| 1.88|     |     |     |     |CS 22956-110
Eu II |  4|<|-1.54| 1.08|     |     |     |     |CS 22956-110
Gd II |  3|<|-0.02| 2.05|     |     |     |     |CS 22956-110
Tb II |  4|<|-0.53| 2.31|     |     |     |     |CS 22956-110
Dy II |  2|<|-0.70| 1.34|     |     |     |     |CS 22956-110
Er II |  2|<|-0.41| 1.81|     |     |     |     |CS 22956-110
Tm II |  2|<|-0.89| 2.15|     |     |     |     |CS 22956-110
Hf II |  2|<| 0.18| 2.47|     |     |     |     |CS 22956-110
Pb I  |  1|<| 1.93| 3.04|     |     |     |     |CS 22956-110
Th II |  2|<|-0.57| 2.51|     |     |     |     |CS 22956-110
Fe I  |115| | 4.31|-3.19| 0.06| 0.15| 0.00| 0.00|CS 22956-114
Fe II | 10| | 4.64|-2.86| 0.06| 0.15| 0.00| 0.00|CS 22956-114
Li I  |  1|<| 0.58|     |     |     |     |     |CS 22956-114
C (CH)|  1| | 4.52|-1.05| 0.15| 0.25| 0.19| 0.19|CS 22956-114
N (NH)|  1| | 5.37| 0.40| 0.30| 0.36| 0.32| 0.32|CS 22956-114
O I   |  3|<| 6.67| 1.17|     |     |     |     |CS 22956-114
Mg I  |  7| | 4.90| 0.48| 0.05| 0.15| 0.08| 0.17|CS 22956-114
Al I  |  1| | 2.61|-0.65| 0.09| 0.29| 0.23| 0.29|CS 22956-114
Si I  |  1| | 5.00| 0.68| 0.15| 0.28| 0.22| 0.25|CS 22956-114
Ca I  | 12| | 3.66| 0.50| 0.11| 0.17| 0.12| 0.20|CS 22956-114
Sc II |  5| | 0.26|-0.03| 0.05| 0.15| 0.17| 0.09|CS 22956-114
Ti I  | 15| | 2.03| 0.27| 0.07| 0.15| 0.09| 0.18|CS 22956-114
Ti II | 26| | 2.31| 0.22| 0.05| 0.15| 0.17| 0.09|CS 22956-114
V I   |  1| | 0.69|-0.05| 0.13| 0.18| 0.14| 0.21|CS 22956-114
V II  |  2| | 1.00|-0.07| 0.21| 0.25| 0.27| 0.22|CS 22956-114
Cr I  |  7| | 2.26|-0.19| 0.06| 0.15| 0.09| 0.18|CS 22956-114
Cr II |  2| | 2.89| 0.11| 0.08| 0.16| 0.19| 0.10|CS 22956-114
Mn I  |  4| | 1.86|-0.38| 0.08| 0.17| 0.11| 0.20|CS 22956-114
Co I  |  3| | 1.82| 0.01| 0.12| 0.19| 0.14| 0.21|CS 22956-114
Ni I  |  3| | 3.10| 0.07| 0.13| 0.19| 0.14| 0.21|CS 22956-114
Cu I  |  1|<| 1.29| 0.29|     |     |     |     |CS 22956-114
Zn I  |  1|<| 2.08| 0.71|     |     |     |     |CS 22956-114
Rb I  |  1|<| 1.99| 2.66|     |     |     |     |CS 22956-114
Sr II |  2| |-0.07|-0.07| 0.04| 0.24| 0.23| 0.24|CS 22956-114
Y II  |  4| |-1.17|-0.51| 0.11| 0.18| 0.20| 0.13|CS 22956-114
Zr II |  3| |-0.46|-0.17| 0.08| 0.16| 0.18| 0.10|CS 22956-114
Mo I  |  1|<|-0.02| 1.29|     |     |     |     |CS 22956-114
Tc I  |  1|<| 0.06|     |     |     |     |     |CS 22956-114
Ba II |  3| |-1.34|-0.65| 0.08| 0.16| 0.18| 0.10|CS 22956-114
La II |  4|<|-1.98|-0.22|     |     |     |     |CS 22956-114
Ce II |  3|<|-1.50|-0.22|     |     |     |     |CS 22956-114
Pr II |  5|<|-1.73| 0.41|     |     |     |     |CS 22956-114
Nd II |  5|<|-1.46|-0.02|     |     |     |     |CS 22956-114
Sm II |  2|<|-1.32| 0.58|     |     |     |     |CS 22956-114
Eu II |  3| |-2.47|-0.12| 0.12| 0.18| 0.20| 0.13|CS 22956-114
Gd II |  3|<|-1.11| 0.68|     |     |     |     |CS 22956-114
Tb II |  3|<|-1.61| 0.95|     |     |     |     |CS 22956-114
Dy II |  1|<|-0.88| 0.88|     |     |     |     |CS 22956-114
Ho II |  1|<|-1.62| 0.76|     |     |     |     |CS 22956-114
Er II |  2|<|-1.43| 0.51|     |     |     |     |CS 22956-114
Tm II |  1|<|-0.77| 1.99|     |     |     |     |CS 22956-114
Yb II |  1| |-2.35|-0.41| 0.43| 0.45| 0.46| 0.43|CS 22956-114
Hf II |  1|<|-0.77| 1.24|     |     |     |     |CS 22956-114
Pb I  |  1|<| 0.78| 1.93|     |     |     |     |CS 22956-114
Th II |  2|<|-1.70| 1.10|     |     |     |     |CS 22956-114
Fe I  |116| | 4.52|-2.98| 0.05| 0.15| 0.00| 0.00|CS 22957-013
Fe II | 11| | 4.49|-3.01| 0.06| 0.15| 0.00| 0.00|CS 22957-013
Li I  |  1| | 0.86|     | 0.07| 0.15| 0.09| 0.18|CS 22957-013
C (CH)|  1| | 5.44| 0.01| 0.15| 0.25| 0.19| 0.19|CS 22957-013
N (NH)|  1| | 4.68|-0.15| 0.30| 0.36| 0.32| 0.32|CS 22957-013
O I   |  3|<| 6.72| 1.01|     |     |     |     |CS 22957-013
Na I  |  1| | 3.18|-0.08| 0.10| 0.30| 0.24| 0.29|CS 22957-013
Mg I  |  8| | 5.09| 0.48| 0.04| 0.18| 0.09| 0.17|CS 22957-013
Al I  |  1| | 3.11|-0.36| 0.09| 0.29| 0.22| 0.27|CS 22957-013
K I   |  1| | 2.25| 0.20| 0.13| 0.18| 0.14| 0.21|CS 22957-013
Ca I  | 11| | 3.77| 0.41| 0.10| 0.17| 0.12| 0.20|CS 22957-013
Sc II |  6| | 0.05|-0.09| 0.05| 0.15| 0.17| 0.08|CS 22957-013
Ti I  | 16| | 2.03| 0.07| 0.05| 0.14| 0.08| 0.17|CS 22957-013
Ti II | 25| | 2.19| 0.25| 0.05| 0.14| 0.16| 0.09|CS 22957-013
V I   |  1| | 0.71|-0.24| 0.11| 0.17| 0.12| 0.20|CS 22957-013
V II  |  2| | 0.96| 0.05| 0.19| 0.24| 0.26| 0.20|CS 22957-013
Cr I  |  7| | 2.33|-0.33| 0.06| 0.14| 0.08| 0.18|CS 22957-013
Cr II |  2| | 2.81| 0.19| 0.07| 0.16| 0.18| 0.09|CS 22957-013
Mn I  |  5| | 1.97|-0.48| 0.06| 0.15| 0.08| 0.18|CS 22957-013
Co I  |  3| | 1.86|-0.15| 0.13| 0.21| 0.15| 0.23|CS 22957-013
Ni I  |  5| | 3.25| 0.01| 0.12| 0.18| 0.14| 0.21|CS 22957-013
Cu I  |  1|<| 1.17|-0.04|     |     |     |     |CS 22957-013
Zn I  |  3| | 1.86| 0.28| 0.07| 0.15| 0.10| 0.18|CS 22957-013
Rb I  |  1|<| 1.76| 2.22|     |     |     |     |CS 22957-013
Sr II |  2| |-0.53|-0.39| 0.04| 0.25| 0.23| 0.25|CS 22957-013
Y II  |  3| |-1.60|-0.80| 0.14| 0.20| 0.21| 0.15|CS 22957-013
Zr II |  3| |-0.82|-0.38| 0.10| 0.17| 0.20| 0.12|CS 22957-013
Nb II |  1|<| 0.28| 1.83|     |     |     |     |CS 22957-013
Mo I  |  1|<|-0.51| 0.59|     |     |     |     |CS 22957-013
Tc I  |  1|<| 0.08|     |     |     |     |     |CS 22957-013
Sn I  |  1|<| 0.92| 1.83|     |     |     |     |CS 22957-013
Ba II |  4| |-1.63|-0.80| 0.06| 0.15| 0.17| 0.09|CS 22957-013
La II |  1| |-2.36|-0.45| 0.13| 0.19| 0.21| 0.14|CS 22957-013
Ce II |  4|<|-1.83|-0.40|     |     |     |     |CS 22957-013
